SL,region,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Station Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period
0,borishal,1949,1,29.4,12.3,0,68,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1949.01
1,borishal,1950,1,30,14.1,0,77,0.453703704,0.8,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1950.01
2,borishal,1951,1,28.2,12.3,0,77,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1951.01
3,borishal,1952,1,26.6,12.3,2,77,0.453703704,1,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1952.01
4,borishal,1953,1,30,13.3,10,75,0.453703704,1.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1953.01
5,borishal,1954,1,27.8,12.7,0,72,0.453703704,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1954.01
6,borishal,1955,1,26.6,12.3,2,77,0.453703704,1,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1955.01
7,borishal,1956,1,29.4,14.3,17,74,0.453703704,0.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1956.01
8,borishal,1957,1,30.1,15.1,104,80,0.453703704,1,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1957.01
9,borishal,1958,1,31.1,15.5,0,77,0.453703704,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1958.01
10,borishal,1959,1,29.9,14.5,24,77,0.453703704,1.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1959.01
11,borishal,1960,1,27.3,12.8,0,71,0.3,1.3,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1960.01
12,borishal,1961,1,28.8,14.5,8,73,0.2,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1961.01
13,borishal,1962,1,28.3,11.6,0,74,0.3,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1962.01
